Title,Task_Force,Year_Implemented,Country,Proposal_Summary
"Mathare Ambassadors of Astronomy",2,2013,"Kenya        ","Project Mathare Ambassadors of Astronomy aims at promoting astronomy among primary school teachers and students in Mathare slum of Nairobi (Kenya) through improving their knowledge and skills, providing educational aids and creating the network of Mathare Ambassadors of Astronomy – a team of trained teachers capable of training their colleagues thus multiplying the outputs of the project.
Mathare slum is a non-formal settlement characterised by high level of poverty, lack of proper infrastructure and poor sanitary conditions. Most of 80 primary schools located in the slum offer low quality education, especially in the field of science and astronomy. Since 2009 Partners Poland Foundation has been working to improve the quality of education by investing in teachers’ skills and educational infrastructure. Trainings on practical science and astronomy organised in previous years, opening of two computer centres and science lab in Mathare will make it possible to carry out the project Mathare Ambassadors of Astronomy.
The project will consist of 5 main activities:
i. Mathare Ambassadors of Astronomy Training of Trainers
At least 12 teachers already cooperating with Partners Poland Foundation will undergo intense and advanced training on astronomy and presentation skills to be able to transfer their knowledge and skills to other teachers from Mathare.
ii. Introduction of Astronomy to Mathare Schools
Trained Mathare Ambassadors of Astronomy will train at least 54 primary school
teachers in Mathare on basics of practical astronomy and usage of galileoscopes.
iii. Provision of astronomy educational aids
At least 20 schools from Mathare will be provided with total of 35 galileoscopes and toolkit comprising of 10 lessons on practical astronomy that can be delivered in the classroom.
Page 1 of 18
iv. Astronomy workshops in the classroom
Both Mathare Ambassadors of Astronomy and their trainees will conduct practical
astronomy lessons for at least 1500 primary school students in Mathare.
v. Mathare Astronomy Exhibition
A display of astronomy artefacts created during teachers’ trainings and workshops for students (e.g. models of solar system, umbrella planetariums etc.) will be organised. The purpose of the exhibition is to Promote Interest for Astronomy for Astronomy among teachers, students and other members of Mathare community."
"Network for Astronomy School Education (NASE) Africa",2,2013,NULL,"According to the IAU Strategic Plan, the mission of the IAU in world astronomy development consists of stimulating the application of astronomy in all its forms as a benefit to society and humankind.
The IAU has several projects which involve points Science Public Outreach, Tertiary education and Research. But NASE is a specific project for Secondary and Primary schools teachers. It is crucial to act before the university and research period in the curricula of children and teenagers. If the pupils have a positive contact with astronomy, they may decide to be astronomers, but it is very difficult to choose to study something which is not known to them.
Astronomy should be more present in the school. It is necessary to educate teachers in astronomy topics. In general, there is astronomy in school curricula, but if teachers do not have available possibilities of the observatory, they probably will limit their astronomy lessons only to the contents of books in a very theoretical way. All schools in all the countries in the world have an “astronomy lab”: this is the court of the school. The teachers with not enough instruction can use it.
The courses and materials will be produced in the language of the country where we are working with teachers: English.
NASE will organise two or three courses for secondary or primary school teachers in Centre or South America in cooperation with a Local Organising Committee (NASE GROUP) will have to organise the following editions every year. After the course, the NASE GROUP (group of 6-8 teachers) should be put together, in coordination with the NASE Programme can then continue organising other activities in the country (courses, seminars, festivals, performances, workshops and the basic NASE course too) every year in each country.
NASE do not have contacts in Africa, we ask for OAD support to decide the countries that will be visited. In 2013 we plan to participate in several conferences and meeting in different countries in order to explain NASE programs"
"Astronomía Periférica (Peripheral Astronomy)",3,2013,"Colombia        ","Astronomía Periférica is a project aimed at bringing the poetic force of astronomy into the periphery of Latin-American cities. Our tools are art, design and science. The project is embodied in three interdependent activities with one common concept: observation. Our target public are those who do not have immediate access to the established centers of astronomical knowledge (museums, universities, planetariums.)
The hierarchical transmission of knowledge is a hurdle in stimulating people into taking responsibility for exploring, understanding and challenging the world we live in. These hierarchies are promoted by the academic and scientific establishment. Through a more open-ended process and without explicit knowledge hierarchies, artistic experimentation offers a way to overcome this problem. Another caveat with traditional outreach activities is the limited scope of the target population. It leaves out the people without time, physical and cultural resources to visit the knowledge centers (school, museum, planetarium). The artistic experience is a medium to lower that barrier and engage people, making them feel part of a world that often sends the opposite message by excluding them from knowledge circuits.
The core team behind Astronomía Periférica is composed by two artists (Luis Bustamante and Alejandro Tamayo) and one astrophysicist (Jaime Forero-Romero). Each member will take the lead of a different activity, while keeping a collaborative edge through the project. The working titles of the three activities in Astronomia Periferica are: ‘Beyond Satelistica’, ‘Macrocosmos and Domestic Microcosmos’ and ‘Notebook Universe’
‘Satelistica’ (led by Luis) deals with sonorizations and visualizations of satellite observations; ‘Macrocosmos and Domestic Microcosmos’ (led by Alejandro) uses household items to create sculptures that remind us that we live in a rotating planet travelling a great speeds through the Universe; ‘Notebook Universe’ (led by Jaime) is a long year project that focuses on amateur drawing of naked eye and small telescope observations.
We will implement the project in Bogotá, Colombia, using a setup that could be useful in other similar Latin-American cities such as Medellín, Quito, Lima or Caracas. Astronomia Periferica will take place during the year 2013. The project will be hosted by Universidad de los Andes. Additional support and advice will be provided by external team members: Lucia Ayala (art historian), Javier Moreno (mathematician and writer), Manuel Santana (artist), Pilar Becerra (astronomy outreach expert); and institutions: Museo de la Ciencia y el Juego (Museum for Science and Play) and the Observatorio Astronomico Nacional."
"Astronomy for Extremely ill or Traumatically Injured Children and Their Families",3,2013,"United States        ","The purpose of this grant is to provide funding to provide telescope observations and astronomy demonstrations for children, their siblings, and adult family members staying at the Ronald McDonald Houses of Chicagoland  (RMH-Chicago) in conjunction the children’s surgery and medical treatments at nearby hospitals.  The project will provide an educational out-of-this world diversion from the stress of being sick or of having a sick family member hospitalized. The grant will also test the effectiveness of this project prior to the submisison of a large-scale grant for multiple RMHs.  The RMHs are a ""home away from home"" for families of critically ill or traumatically injured children undergoing medical treatment in nearby hospitals. The RMHs provide a comfortable, supportive alternative atmosphere to expensive hotels where family members can sleep, eat, relax and find support from other families in similar situations. Families are kept united at a time when mutual support is often as critical as the medical treatment itself. The ill children and their families may stay for a few days but some will stay for months because of chemotherapy, dialysis, or rehabilitative therapy.  There are now 250 RMHs in the US and 60 in other countries. The telescope observations and hands-on astronomy demonstrations will provide a unique family learning experience. Innovative edible demonstrations using chocolate, marshmallows, and popcorn will be used to present astronomy and space science concepts to enhance learning and achieve a greater educational impact.  The program includes activities specially designed for ages ranging from elementary school to high school along with the adult family members.  Because the families come from across the US, they will be given information about local science museums, and local astronomy clubs (with free or low-cost memberships).  Astronomical demonstrations will be conducted using telescope observations of the Sun, Moon, planets, stars, and nebulae in conjunction with astronomical demonstrations and family activities. An imager will be used so the children can take their own astronomical images.  The activities include both daytime and nighttime activities and are designed for all weather and all ages.  Galieloscope  and  IYA2009, ASP project Astro and ASP Family Astro activities will be used.  The RMH-Chicago education staff will be trained to use: easy to operate go-to telescope to take advantage of clear weather and interesting celestial events; Stellarium to show the sky; Astronomy or Sky and Telescopes Magazine sites to find out about astronomical events; and demonstration materials. 
"
"Chinese Ancient Poetry Astrophotography",3,2013,"China        ","Our ancestors are closer to the night sky than we are. Celestial objects such as the Sun, the Moon, the milky way, star constellations and comets are mentioned in many Chinese ancient poems and stories. The sky nearly never changes. We see the same sky as Li Bai, a Chinese famous poet, did 1200 years ago. Chinese people were taught ancient poems when they were very young, but were never taught the astronomy in the poems. In fact, parents and teachers do not know about them.   The project will take pictures of the night sky according to the Chinese famous ancient poems. However, the people who know the poems do not know astronomy and photography, and the people who know astronomy do not know the poems and photography, and so on.  Therefore, the project will absorb people with different background to work together: Chinese literature teachers: select astronomical poetry; Astronomers: explain the selected poems; Photographers:  take pictures according to the selected poetry. The artist and designers: give good ideas of getting beautiful pictures. The slogan of the project: Appreciate Chinese Poetry night sky!   By the Autumn of 2014, 40 pictures with Chinese poetry photography  will be: Showing on the Beijing Planetarium website which can be downloaded all over the world. These pictures will show the Chinese Culture Vision Sky.   2)  Exhibited in Beijing Planetarium exhibition hall.  3) Used as examples to unites and inspire more people to provide different culture astronomic poems and astrophotography for next exhibition and website content all over the world."
"Coordinating Astronomy for Public Outreach in Viet Nam: Bringing Astronomy to Remote Areas",3,2013,"Vietnam        ","Viet Nam is a developing country with the population of about 90 million people and it is on the heimat of economic development. However, astronomy is still not being much appreciated in Viet Nam. Therefor, this project has two fold objectives. First of all, we aim at building up a coherent, unique online website to coordinate activities of amateur astronomy clubs in Viet Nam and to spread out astronomical news, knowledge in a more organised way. Secondly, we aim at organising various observing nights and hands-on activities in remote provinces to increase awareness of people on astronomy.
For the moment, there are several amateur astronomy clubs in Vietnam (see figure 1) but they are loosely connected. Currently, the internet domain www.vietastro.org is the most updated website in Viet Nam about astronomy, maintained by Ho Chi Minh City Amateur Astronomy Club (HAAC). It is providing astronomical knowledge and news in Vietnamese as well as becoming the official information portal of amateur astronomy activities held by local clubs and organisations in Viet Nam. With the help of OAD-IAU, we are targeting at becoming the main hub to coordinate amateur astronomy activities as well as to circulate information on the astronomical events, and developments of the country and of the whole world. Besides that, we also want to have this website to be translated into English to serve as a portal of Vietnamese amateur astronomers to the outer world. To achieve this goal, we will maintain two groups of amateur astronomers. One translation group to translate reports of amateur astronomy activities in Viet Nam into English and translate news, articles, and writings about astronomy in English into Vietnamese. The other one performs technical works to keep the website up to date and visually attractive to the public.
Viet Nam has more than 330 square kilometres of land and is divided into 63 provinces and municipalities. However, most of scientific and cultural activities occur in the two largest cities: Ho Chi Minh City, and Ha Noi, the capital. Astronomy is not an exception. There are active clubs only in Ho Chi Minh City and Ha Noi, currently. We plan to publicise astronomy further to other provinces in 2013 if this proposal is accepted by delivering several hands-on activities such as: public observations, astrophotography, basic lectures."
"Dark Skies Outreach to Sub-Saharan Africa",3,2013,NULL,"We propose to optimize and implement the successful Dark Sky Rangers/GLOBE at Night citizen scientist program in 12-15 sub-Saharan African countries.
The GLOBE at Night program, hosted by the U.S. National Optical Astronomy Observatory (NOAO), is an international citizen-science campaign to raise public awareness of the impact of light pollution. The worldwide campaign invites citizen- scientists to record the brightness of the night sky by visually matching the appearance of a constellation like Orion with star maps of progressively fainter stars or using meters to obtain more precise measurements. Measurements are submitted to a central website by paper, computer, or smart phone. From these data an interactive map of all worldwide observations is created. Every year, NOAO is adding more opportunities for participation by providing campaigns at different times of year and creating Web applications in different languages for smart phones. Over the past 7 years of 10-day campaigns, people in 115 countries have contributed over 83,000 measurements, making GLOBE at Night the most successful, light pollution citizen-science campaign to date. (See www.globeatnight.org for more information.) Sub-Saharan African countries have been dramatically under-represented in Globe at Night  campaigns.The proposed effort will help address the lack of public dark sky awareness in these regions and, more importantly, tap into the inherent wonder of the night sky shared by all cultures to increase science awareness within these populations. To provide foundational activities for GLOBE at Night, NOAO developed the Dark Skies Rangers program during the International Year of Astronomy (2009). Dark Skies Rangers is a set of environmental/astronomy-based lesson plans for grades 3 through 12 that help students learn the importance of maintaining dark skies. The EPO group’s expertise in developing teaching kits and instructional materials for schools, museums, and after- school programs helped create the suite of well-tested and evaluated hands-on, minds-on activities. The activities have children building star-brightness “readers,” creating glow- in-the-dark tracings to visualize constellations, and role-playing confused sea turtles. They also create a model city with shielded lights to stop upward light, examine different kinds of bulbs for energy efficiency, and perform an outdoor lighting audit of their school or neighborhood. (See www.globeatnight.org/dsr/ for more information.) The proposed program includes an innovative series of Skype sessions for educators and students, a website for exchanges of ideas and student posters, a list-serve, well-vetted kits, an novel twinning program for additional Sky Quality Meters, and participation in the GLOBE at Night campaign."
"Limpopo Astronomy Public Outreach (LAPO)",3,2013,"South Africa        ","Limpopo Astronomy Public Outreach will visit 13 venues in various towns in Limpopo Province over the course of a five month period (see point 9 for venues). An astronomy display during the course of the day and part of the evening consisting of the following will be setup.
“Fossils, Light & Time”, a visual display of cosmic and fossil history going back 2.1 billion years with a South African flavour.  Consisting of 26 laminated A4 pages, portraying the impact of the Vredefort meteorite and ending present day with fossil history from the floods in Laingsburg.  A selection of posters sourced from SAAO and SAASTA depicting the following:  Our solar system, the electromagnetic spectrum, your place in the universe.  These will be on display and also handed out.  Various other astronomy related posters and material will also be on display.  Please note that these posters have not been budgeted into this proposal as they are usually donated by the two organizations. Practical:  Viewing the Sun and observing sunspots with a telescope and sun-filter.  Will include handout material with facts and figures on the Sun on one side of A4 page.  The reverse side will have information on the Moon. Solar system, facts and figures will include handout material as well as practical display of the size and distance to the planets.  Information on viewable planets at the time will be included on the reverse side of the page. Stargazing evenings will include South African star-lore and the identification of some of the constellations that are visible as well as views through the telescope of some of the planets, stars and deepsky objects.  Explanations of how stars and planets “move”, the difference between them etc., will be discussed. A video camera attached to the telescope instead of the eyepiece will project onto a screen, real time images of what the telescope is pointing at.  This is the perfect tool for astronomy outreach as large groups can be targeted.  As an example, real time views of the Moon, Saturn, a double star or star-forming region in the sky is projected, with an explanation of what we are looking such as:  Explanation of how and when the Moon was formed, why we see different phases, composition of Saturn’s rings and the structure, show its moons including the largest one Titan, etc. etc.  Open & Globular clusters:  An explanation of these types of stellar groupings.  Nebulae:  An explanation of the various nebulae and much more.Short clips consisting of some current material such as the launching and landing of NASA’s Curiosity on Mars, as well as material on the Space Shuttle and ISS and Apollo footage."
"Institute Twinning between the University of Antioquia (Colombia) and the Leiden Observatory",1,2014,"Colombia Netherlands Chile Venezuela Ecuador Peru Bolivia Other Andean Countries ","In the context of the IAU Strategic Plan, and in parallel to the creation of an Andean Regional Office of Astronomy for Development (Andean ROAD), the Astronomy undergraduate program at the University of Antioquia (UofA) and the Leiden Observatory (LO) have successfully become twin institutions in 2013. This partnership has the specific goals of boosting the development and improving the quality of astronomy teaching and research at the UofA and other institutions in Andean region, by offering to the community an archive of open online courses at the advanced undergrad level, among other activities. In August 2013 two lecturers from Leiden visited the UdeA and taught advanced courses in astrophysics to an audience of at least 80 undergrads from several institutions, and to a broader audience through the live streaming and recording of the lectures, now available online. The courses were graded and successful students were given academic credits upon completion. Additionally, a joint LO-UdeA advisory committee has evaluated the structure and content of the courses offered at the UofA and the National Astronomical Observatory (OAN) in Bogotá, and provided advice on new courses and possible research fields on which the Andean students can carry on their thesis work. The resulting report is also available online. In connection with Task Force 3 activities, two public lectures with ~300 attendees were offered to the people of Medellín, and posted online to reach a broader audience in the region. With this proposal we are requesting funding for a continuation of this program, with the same structure and enhanced objectives, during 2014. Although we keep the twinning spirit of this proposal, we aim at reaching other institutions in Colombia and the Andean Region, through direct participation of their students, as well as replication of the courses and online posting of the lectures."
"Joint Exchange Development Initiative for Africa",1,2014,"Mauritius Namibia       ","Astronomy has grown significantly in recent years and the amount of scientific data available online has exploded. Astronomers have been doing data mining for centuries, characterizing the known, assigning the new and discovering unknowns. These skills are more critical than ever especially with new facilities coming online. We are now entering a data intensive research era. Virtual observatories (VO) have been set up across the world and data are accessible publicly. Nowadays, one does not need to build an instrument to do astronomy, but rather to start with an idea, explore the internet world to gather as much information as possible and then solve or contribute to a problem. On the African continent, the access of data via the internet is still problematic but the future seems more promising, with new world class facilities coming up such as the SALT, HESS and SKA. However, there is a scarcity of trained astronomers to pass on the research philosophy and methodologies to others. The Joint Exchange Development Initiative (JEDI) is a concept to enhance development and education via direct transfer of skills and expertise in any specific field. It is an initiative to provide development via joint exchange among stakeholders. This is achieved by bringing stakeholders: students, postdocs and staffs together in an informal but intense research environment to tackle unsolved problems for e.g. in Astronomy. The JEDI has a very scalable concept. JEDI have been carried out among undergraduate students, postgraduate groups and very recently among staff scientists from all around the world through the SuperJEDI meeting in Mauritius in 2013. We propose to host JEDI workshops in Mauritius and Namibia for 2014."
"Latin American School of Observational Astronomy 2014",1,2014,"Mexico        ","There is great enthusiasm for astronomy in Latin America and even interest in developing small local observatories but, unfortunately, so far there are very few astronomers in these countries who can develop new talents. In collaboration with the Instituto Nacional de Astonomia, Optica y Electronica (INAOE), in 2007 members of the Astronomy Institute at the National University began a short course at our observatory in Tonanzintla dedicated to undergraduate-level students from these countries. The course was called the Escuela de Astronomia Observacional Centroamericana (Central American School of Observational Astronomy), and when it was later discovered that there was interest from other parts of Latin America, it was renamed the Latin American School of Observational Astronomy.
Tonanzintla was chosen to take advantage of the National University’s 1m telescope and, due to climate constraints, the three-week theoretical course with daily observational experience is offered only in the month of January. Professors from universities throughout Mexico are invited to give lectures and students observe nightly practicing the new techniques they have learned.
Since its inception 54 students have taken the course and many are now in graduate courses throughout the world. The observational part of the course has been enriched by the acquisition of smaller telescopes, but it needs to be further expanded with additional telescopes so that students can work in smaller groups.
Although the course is without cost for the students and we supply housing and food, the students are required to pay their own transportation to and from Mexico. Experience has shown that many participants often are unable to pay the airfare to Mexico and many have traveled here for days by bus.
We feel that to attract more students, relate to the economical/educational needs of each country and to guide those who take the course, it is necessary for us to visit local universities."
